titulo,resumen,nivel_impacto
¿Quién era Ximena Guzmán secretaria particular de Brugada asesinada en CDMX?, Ciudad de México; 20 de mayo.- Esta mañana se informó sobre el asesinato de la secretaria particular de la Jefa de Gobierno de la CDMX Clara Brugada se trata Ximena Guzmán Cuevas en un ataque directo sobre la Calzada de Tlalpan en la alcaldía Benito Juárez hecho donde también murió el asesor José Muñoz, alto_impacto
Asesinan colaboradores cercanos de Clara Brugada en ataque directo en Av. Tlalpan CDMX, Luego de confirmar el hecho durante su conferencia de prensa matutina la presidenta Claudia Sheinbaum Pardo leyó íntegramente la tarjeta difundida por Clara Brugada y al final comentó que le daban su apoyo incondicional a la jefa de Gobierno y la solidaridad con la familia de las personas asesinadas, bajo_impacto
Olas de calor en Ciudad de México: un fenómeno cada vez más extremo, La ola de calor que se registra actualmente en la Ciudad de México obedece a una combinación de factores; uno de los principales es la circulación anticiclónica que impide la formación de nubes y atrapa el calor en la atmósfera generando un ambiente seco y con altos índices de radiación así como la presencia de masas de aire caliente que se desplazan hacia el norte del país lo que contribuye a la elevación de las temperaturas explicó la doctora Fabiola Sagrario Sosa Rodríguez profesora e investigadora de la Universidad Autónoma Metropolitana (UAM), medio_impacto
¿Cuáles son los promedios necesarios para el Pase UAM 2025?, La Universidad Autónoma Metropolitana ( UAM ) ya compartió su convocatoria para el Pase UAM 2025 el cual los estudiantes del Colegio de Bachilleres ( Colbach ) podrán tener un mecanismo de acceso directo siempre y cuando cumplan con los requisitos necesarios como el promedio, alto impacto
A cien años de Emilio Carballido, A cien años del nacimiento de aquel "muchacho genial flaco nervioso de ojos asustados" como describió Salvador Novo al narrador guionista maestro y dramaturgo Emilio Carballido Fentanes pervive el reconocimiento nacional e internacional a su obra y su trabajo como maestro autor de obras para actores jóvenes y editor de dramaturgos noveles al tiempo en que resuena como un murmullo la polémica en torno a su feroz defensa del dramaturgo y su texto como elementos rectores del teatro. Su prolífica y variada obra publicada y puesta en escena; sus personajes que se salvan o se hunden ante lectores y público entre risas llanto sueños y tomas de conciencia, bajo impacto
Científicos de la UNAM crean microdispositivo que podría revolucionar el tratamiento del Parkinson, CIUDAD DE MÉXICO. Investigadores de la Universidad Nacional Autónoma de México (UNAM) han desarrollado un dispositivo nanotecnológico con el potencial de transformar el tratamiento del mal de Parkinson una enfermedad que deteriora el control muscular por la pérdida progresiva de neuronas encargadas de producir dopamina, medio_impacto
El INE firmó un convenio con el IPN para elaborar la tinta indeleble que se usará en la elección judicial del 1 de junio, El Instituto Nacional Electoral (INE) ha suscrito un convenio de colaboración con el Instituto Politécnico Nacional (IPN) para la producción de la tinta indeleble que se empleará en la elección judicial programada para el 1 de junio. La Universidad Autónoma Metropolitana (UAM) será la encargada de certificar que la tinta sea imposible de borrar, alto_impacto
Lefebvre y la URJC analizan las reformas legislativas la ciberseguridad y sostenibilidad, Académicos magistrados y expertos del sector financiero y bancario han debatido entre otros temas sobre las amenazas en el entorno digital bancario, bajo_impacto
Resumen Informativo Mexiquense noticias con Raúl García, Cinco facultades de la Universidad Autónoma Metropolitana (UAM) se han unido a un paro de actividades tras una jornada de votaciones., medio_impacto
Marchas y calor extremo se esperan este miércoles 7 de mayo en CDMX, ¡Prepárate! Porque este miércoles 7 de mayo de 2025 se prevén al menos tres marchas y ocho concentraciones en diferentes puntos de la Ciudad de México lo que podría generar afectaciones viales especialmente en el Centro Histórico así como en alcaldías como Milpa Alta Miguel Hidalgo Tláhuac Cuauhtémoc y Azcapotzalco ello aunado a la ola de calor que 'azota' a la capital donde se espera una temperatura máxima de 32 grados, alto_impacto